,bathrooms,bedrooms,bhk,dist_arprt,host_count,latitude,longitude,metrostn_count,minstay,neighborhood,overall_satisfaction,price,rest_count,reviews,review_count,room_id,room_type
73,1.0,1.0,1.0,0.251721976604,8989,41.915432,12.461142,13,3.0,Municipio 1,2.0,81.0,77,0,140078,2130678,Entire home/apt
74,1.0,1.0,1.0,0.251721976604,8989,41.894768,12.475184,13,2.0,Municipio 1,4.5,104.0,77,9,140078,2130905,Entire home/apt
75,1.0,1.0,1.0,0.251721976604,8989,41.893883,12.489249,13,1.0,Municipio 1,5.0,69.0,77,35,140078,2131315,Private room
76,1.0,1.0,1.0,0.251721976604,8989,41.915354,12.461825,13,3.0,Municipio 1,2.0,92.0,77,0,140078,2132553,Entire home/apt
77,1.0,1.0,1.0,0.251721976604,8989,41.8959,12.498192,13,1.0,Municipio 1,4.5,109.0,77,53,140078,2132592,Private room
78,1.0,1.0,1.0,0.251721976604,8989,41.890381,12.504495,13,1.0,Municipio 1,4.5,67.0,77,38,140078,2132641,Private room
79,1.0,1.0,1.0,0.251721976604,8989,41.890773,12.468947,13,3.0,Municipio 1,4.5,86.0,77,58,140078,2132852,Entire home/apt
80,1.0,1.0,1.0,0.251721976604,8989,41.903098,12.474453,13,2.0,Municipio 1,4.0,115.0,77,2,140078,2135106,Entire home/apt
81,1.0,1.0,1.0,0.251721976604,8989,41.896207,12.465932,13,3.0,Municipio 1,5.0,92.0,77,4,140078,2125934,Entire home/apt
82,1.0,1.0,1.0,0.251721976604,8989,41.89394,12.488252,13,1.0,Municipio 1,4.5,104.0,77,24,140078,2113077,Entire home/apt
83,2.0,1.0,1.0,0.251721976604,8989,41.908117,12.497525,13,2.0,Municipio 1,5.0,92.0,77,44,140078,2114010,Private room
84,2.0,1.0,1.0,0.251721976604,8989,41.906576,12.448599,13,4.0,Municipio 1,5.0,109.0,77,3,140078,2114752,Entire home/apt
85,1.0,1.0,1.0,0.251721976604,8989,41.893822,12.506156,13,3.0,Municipio 1,4.5,92.0,77,24,140078,2118708,Entire home/apt
86,1.0,1.0,1.0,0.251721976604,8989,41.905269,12.483608,13,1.0,Municipio 1,2.0,206.0,77,0,140078,2190951,Entire home/apt
87,1.0,1.0,1.0,0.251721976604,8989,41.898317,12.501554,13,1.0,Municipio 1,2.0,46.0,77,0,140078,6963725,Private room
88,1.0,1.0,1.0,0.251721976604,8989,41.895459,12.494769,13,3.0,Municipio 1,2.0,174.0,77,0,140078,2186788,Entire home/apt
